Rank,Wallet,Owner,Balance,XRP Locked,Percentage,Total Balance
1,rB3WNZc45gxzW31zxfXdkx8HusAhoqscPn,Ripple (11),232,5000000000,5.0,5000000232
2,r9UUEXn3cx2seufBkDa8F86usfjWM6HiYp,Ripple (10),220,5000000000,5.0,5000000220
3,rMhkqz3DeU7GUUJKGZofusbrTwZe6bDyb1,Ripple (28),206,5000000000,5.0,5000000206
4,r9NpyVfLfUG8hatuCCHKzosyDtKnBdsEN3,Ripple (9),204,5000000000,5.0,5000000204
5,rGKHDyj4L6pc7DzRB6LWCR4YfZfzXj2Bdh,Ripple (26),201,5000000000,5.0,5000000201
6,rHGfmgv54kpc3QCZGRXEQKUhLPndbasbQr,Ripple (27),200,5000000000,5.0,5000000200
7,rKDvgGUsNPZxsgmoemfrgXPS2Not4co2op,Ripple (13),201,4000000000,4.0,4000000201
8,rDdXiA3M4mYTQ4cFpWkVXfc2UaAXCFWeCK,Ripple (12),216,3730000000,3.73,3730000216
9,rsX8cp4aj9grKVD9V1K2ouUBXgYsjgUtBL,Uphold (8),1860820313,,1.86,1860820313
10,rPyCQm8E5j78PDbrfKF24fRC7qUAk1kDMZ,Bithumb (12),1446183801,,1.45,1446183801
11,rMQ98K56yXJbDGv49ZSmW51sLn94Xe1mu1,Ripple (29),1330027088,,1.33,1330027088
12,rKveEyR1SrkWbJX214xcfH43ZsoGMb3PEv,Ripple (39),1195544084,,1.2,1195544084
13,rs8ZPbYqgecRcDzQpJYAMhSxSi5htsjnza,Binance (5),1176772050,,1.18,1176772050
14,rw2hzLZgiQ9q62KCuaTWuFHWfiX7JWg3wY,Ripple (24),500000258,500000000,1.0,1000000258
15,rDqGA2GfveHypDguQ1KXrJzYymFZmKxEsF,Ripple (25),500000200,500000000,1.0,1000000200
16,rDxJNbV23mu9xsWoQHoBqZQvc77YcbJXwb,UPbit (22),856056064,,0.86,856056064
17,rPz2qA93PeRCyHyFCqyNggnyycJR1N4iNf,Binance (13),772353676,,0.77,772353676
18,rJ9Ey7HbscSECamgDRzvw5wrVbFUgaUDt7,,713000011,,0.71,713000011
19,r99QSej32nAcjQAri65vE5ZXjw6xpUQ2Eh,Coincheck (3),615659509,,0.62,615659509
20,rw7m3CtVHwGSdhFjV4MyJozmZJv3DYQnsA,bitbank (2),579561807,500,0.58,579562307
